n,classes,labeled,r180_labeled,any_labeled,trivial_stab,center_r180,center_nonr180,m_iden,m_rot2,m_dia1,m_ort1,m_rot4,m_rct4,m_dia2,m_ort2,m_full,labeled_ref,labeled_ok
2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,True
3,1,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,2,True
4,4,11,7,11,0,0,0,0,1,0,1,0,0,1,0,1,11,True
5,5,32,0,8,3,0,0,3,0,2,0,0,0,0,0,0,32,True
6,11,50,18,18,4,0,0,4,2,0,0,3,0,2,0,0,50,True
7,22,132,40,44,11,0,0,11,10,1,0,0,0,0,0,0,132,True
8,57,380,36,60,40,0,0,40,7,5,1,4,0,0,0,0,380,True
9,51,368,28,40,41,0,2,41,6,3,0,0,1,0,0,0,368,True
10,156,1135,67,79,132,0,0,132,13,3,0,6,0,1,0,1,1135,True
11,158,1120,120,144,122,0,7,122,30,6,0,0,0,0,0,0,1120,True
12,566,4348,144,156,524,0,0,524,33,3,0,4,0,2,0,0,4348,True
13,499,3622,330,366,407,0,21,407,82,9,0,0,0,1,0,0,3622,True
14,1366,10568,276,296,1284,0,0,1284,61,5,0,13,0,3,0,0,10568,True
15,3978,30634,1134,1186,3681,0,195,3681,283,13,0,0,0,1,0,0,30634,True
16,5900,46304,784,840,5683,0,0,5683,189,14,0,13,0,1,0,0,46304,True
17,7094,55576,1128,1176,6800,0,331,6800,281,12,0,0,1,0,0,0,55576,True
18,19204,152210,1330,1386,18853,0,0,18853,328,14,0,7,0,2,0,0,152210,True
19,32577,258176,2376,2440,31967,0,1457,31967,592,16,0,0,2,0,0,0,258176,True
20,118057,941580,2736,2804,117347,0,0,117347,675,17,0,16,0,2,0,0,941580,True
