id,section,status,description,expected,measured,detail
C01,2.3 / 11,PASS,"Snapshot totals: 430,991 lines, n = 2..76; 189,707 classes at n <= 20, 241,165 stored at 21 <= n <= 57, 119 at n = 58..76; every line decodes (2 points per row/column) and no collinear triple in any class of the checked coverage",lines 430991; sums 189707/241165/119; 0 decode/degree/triple failures,"{""decode_errors"": 0, ""degree_errors"": 0, ""lines"": 430991, ""n_max"": 76, ""n_min"": 2, ""sum_21_57"": 241165, ""sum_58_76"": 119, ""sum_le20"": 189707, ""triple_failures"": 0}","collinearity checked on every n <= 20 class, every corpus class, and the scan witnesses (n = 21, 22, 23, 26, 28)"
C02,2.3 / 4.2,PASS,"Per-n class counts n = 5..20 and labeled totals (class count x true orbit size), matching A000755 / A000769 exactly","classes [5, 11, 22, 57, 51, 156, 158, 566, 499, 1366, 3978, 5900, 7094, 19204, 32577, 118057]; labeled [32, 50, 132, 380, 368, 1135, 1120, 4348, 3622, 10568, 30634, 46304, 55576, 152210, 258176, 941580]","{""classes"": [5, 11, 22, 57, 51, 156, 158, 566, 499, 1366, 3978, 5900, 7094, 19204, 32577, 118057], ""labeled"": [32, 50, 132, 380, 368, 1135, 1120, 4348, 3622, 10568, 30634, 46304, 55576, 152210, 258176, 941580]}","n = 2..4 classes {2: 1, 3: 1, 4: 4}"
C03,4.2,PASS,"rot180-invariant and any-symmetry labeled counts, n = 5..20","r180 [0, 18, 40, 36, 28, 67, 120, 144, 330, 276, 1134, 784, 1128, 1330, 2376, 2736]; any [8, 18, 44, 60, 40, 79, 144, 156, 366, 296, 1186, 840, 1176, 1386, 2440, 2804]","{""any"": [8, 18, 44, 60, 40, 79, 144, 156, 366, 296, 1186, 840, 1176, 1386, 2440, 2804], ""r180"": [0, 18, 40, 36, 28, 67, 120, 144, 330, 276, 1134, 784, 1128, 1330, 2376, 2736]}",
C04,4.1,PASS,"n = 20 decomposition: 675 rot2 + 16 rot4 + 2 dia2 + 17 dia1 + 117,347 iden = 118,057 classes (rct4 = 0); true rot180-invariant classes 693; any symmetry 710; labeled rot180 2,736; any symmetry 2,804","{rot2: 675, rot4: 16, dia2: 2, dia1: 17, iden: 117347, rct4: 0}","{""any_classes"": 710, ""any_labeled"": 2804, ""markers"": {""dia1"": 17, ""dia2"": 2, ""iden"": 117347, ""rot2"": 675, ""rot4"": 16}, ""r180_classes"": 693, ""r180_labeled"": 2736}",
C05,2.2 / 4.1,PASS,Marker audit for every n <= 20 class: the true D4 stabilizer matches the symmetry declared by the marker,0 mismatches,"{""mismatches"": {}}",n <= 20
C06,3,PASS,"L(n) table n = 2..20: L(n), lexicographic minimum spectrum, number of minimizer classes; minimizer spectrum multisets at n = 9, 11, 17, 20","{2: (2, [2], 1), 3: (3, [3], 1), 4: (2, [2, 2], 3), 5: (5, [5], 5), 6: (3, [3, 3], 1), 7: (3, [2, 2, 3], 5), 8: (2, [2, 2, 2, 2], 5), 9: (3, [2, 2, 2, 3], 3), 10: (2, [2, 2, 2, 2, 2], 4), 11: (3, [2, 2, 2, 2, 3], 5), 12: (3, [2, 2, 2, 3, 3], 4), 13: (3, [2, 2, 2, 2, 2, 3], 4), 14: (3, [2, 2, 2, 2, 3, 3], 4), 15: (3, [2, 2, 2, 3, 3, 3], 1), 16: (3, [2, 2, 2, 2, 2, 3, 3], 4), 17: (4, [2, 2, 2, 2, 2, 3, 4], 5), 18: (3, [2, 2, 2, 2, 2, 2, 3, 3], 4), 19: (3, [2, 2, 2, 2, 2, 2, 2, 2, 3], 1), 20: (3, [2, 2, 2, 2, 3, 3, 3, 3], 2)}","{""minimizer_spectra"": {""10"": [[2, 2, 2, 2, 2]], ""11"": [[2, 2, 2, 2, 3], [2, 3, 3, 3]], ""12"": [[2, 2, 2, 3, 3], [3, 3, 3, 3]], ""13"": [[2, 2, 2, 2, 2, 3]], ""14"": [[2, 2, 2, 2, 3, 3], [2, 3, 3, 3, 3]], ""15"": [[2, 2, 2, 3, 3, 3]], ""16"": [[2, 2, 2, 2, 2, 3, 3], [2, 2, 3, 3, 3, 3]], ""17"": [[2, 2, 2, 2, 2, 3, 4], [2, 3, 4, 4, 4]], ""18"": [[2, 2, 2, 2, 2, 2, 3, 3], [2, 2, 2, 3, 3, 3, 3]], ""19"": [[2, 2, 2, 2, 2, 2, 2, 2, 3]], ""2"": [[2]], ""20"": [[2, 2, 2, 2, 3, 3, 3, 3], [2, 3, 3, 3, 3, 3, 3]], ""3"": [[3]], ""4"": [[2, 2]], ""5"": [[5]], ""6"": [[3, 3]], ""7"": [[2, 2, 3]], ""8"": [[2, 2, 2, 2]], ""9"": [[2, 2, 2, 3], [3, 3, 3]]}, ""mismatch_n"": []}",
C07,3,PASS,"L = 2 holds exactly at n in {2, 4, 8, 10} within n <= 20 (classes/labeled 1/1, 3/9, 5/20, 4/11) and nowhere else; the N3 series (labeled max-cycle <= 3 counts) at n = 8..20 is 48, 20, 31, 24, 24, 20, 18, 8, 18, 0, 16, 4, 8","L2 = {2: (1, 1), 4: (3, 9), 8: (5, 20), 10: (4, 11)}; N3 = [48, 20, 31, 24, 24, 20, 18, 8, 18, 0, 16, 4, 8]","{""L2"": {""10"": [4, 11], ""2"": [1, 1], ""4"": [3, 9], ""8"": [5, 20]}, ""N3"": [48, 20, 31, 24, 24, 20, 18, 8, 18, 0, 16, 4, 8]}",
C08,2.3 / 3 / 11,PASS,"Scan over the stored classes, 21 <= n <= 57: 241,165 classes / 900,672 labeled; minimum max-spectrum L(21) = 3, L(22) <= 4, L(23) <= 4, L(26) = L(28) = 2 (one ort1 class, 4 labeled each, all-2 spectra), no other L = 2 witness in 21..57, min 35: 13, min 57: 10; N3^known(21) = 2 classes / 8 labeled (spectra (2,2,2,3,3,3,3,3)); N3^known(22) = 0 over 1,285; N3^known(23) = 0 over 4,033","sums 241165 / 900672; mins {21:3, 22:4, 23:4, 26:2, 28:2, 35:13, 57:10}; L2 only at {26, 28}; N3 21: 2/8, 22: 0/1285, 23: 0/4033","{""L2_at"": [26, 28], ""mins"": {""21"": 3, ""22"": 4, ""23"": 4, ""24"": 4, ""25"": 4, ""26"": 2, ""27"": 4, ""28"": 2, ""29"": 4, ""30"": 4, ""31"": 4, ""32"": 6, ""33"": 7, ""34"": 5, ""35"": 13, ""36"": 4, ""37"": 10, ""38"": 5, ""39"": 8, ""40"": 4, ""41"": 16, ""42"": 5, ""43"": 14, ""44"": 6, ""45"": 8, ""46"": 5, ""47"": 10, ""48"": 5, ""49"": 7, ""50"": 5, ""51"": 7, ""52"": 5, ""53"": 8, ""54"": 4, ""55"": 7, ""56"": 5, ""57"": 10, ""58"": 7, ""59"": 59, ""60"": 10, ""61"": 55, ""62"": 15, ""63"": 30, ""64"": 14, ""65"": 30, ""66"": 16, ""67"": 18, ""68"": 50, ""69"": 47, ""70"": 17, ""72"": 36, ""74"": 62, ""76"": 66}, ""n21_L3"": [2, 8], ""n21_L3_spectra"": [[2, 2, 2, 3, 3, 3, 3, 3], [2, 2, 2, 3, 3, 3, 3, 3]], ""n22"": 1285, ""n23"": 4033, ""sums"": [241165, 900672]}","witnesses at n = 21, 22, 23, 26, 28 pass the no-triple check"
C09,2.3 / 4.1 / 3,PASS,"Corpus: 959 classes, n = 57..76; D4-orbit histogram {2: 112, 4: 846, 8: 1}, 3,616 labeled (112 rot4 + 840 rct4 + 6 rot2 + 1 iden); n = 57 section: 833 rct4 + 6 rot2 + 1 iden = 840 classes, 3,364 labeled; rct4 spread 833@57, 1 each at 59, 61, 63, 65, 67, 2@69; L-bounds L(57) <= 10, L(58) <= 7, L(70) <= 17; the n = 57 iden class has orbit 8 and spectrum (2, 4, 4, 47)","959 / {2:112, 4:846, 8:1} / 3616; 840 / 3364; mins 10/7/17; iden 57: orbit 8, (2,4,4,47)","{""b4_classes"": 957, ""blocked_pct"": 99.88938053097345, ""classes"": 959, ""iden57_orbit"": 8, ""iden57_spectrum"": [2, 4, 4, 47], ""labeled"": 3616, ""markers"": {""iden"": 1, ""rct4"": 840, ""rot2"": 6, ""rot4"": 112}, ""minL"": {""57"": 10, ""58"": 7, ""59"": 59, ""60"": 10, ""61"": 55, ""62"": 15, ""63"": 30, ""64"": 14, ""65"": 30, ""66"": 16, ""67"": 18, ""68"": 50, ""69"": 47, ""70"": 17, ""72"": 36, ""74"": 62, ""76"": 66}, ""n57_classes"": 840, ""n57_labeled"": 3364, ""near_min"": {""57"": 4, ""58"": 8, ""66"": 8}, ""near_pairs"": 37, ""near_pairs_by_n"": {""57"": 34, ""58"": 2, ""66"": 1}, ""open_labeled"": 4, ""orbit_hist"": {""2"": 112, ""4"": 846, ""8"": 1}, ""rct4_audit"": [840, 840], ""rct4_spread"": {""57"": 833, ""59"": 1, ""61"": 1, ""63"": 1, ""65"": 1, ""67"": 1, ""69"": 2}, ""sec_max"": 14, ""sec_mean_57"": 5.130796670630202, ""sec_mean_76"": 7.0, ""sec_mean_all"": 5.148230088495575}",
C10,2.2 / 4.1,PASS,"Every corpus rct4 class has true stabilizer exactly {I, R180} (orbit 4, no reflection, no quarter-turn representative)","840 / 840 with stabilizer (0, 2)","{""rct4_count"": 840, ""with_stab_01"": 840}",
