n,t,count,mean_x,var_x
5,0,32,0.9375,0.621094
5,1,76,1.315789,1.189751
5,2,360,1.044444,0.892469
5,3,440,1.668182,1.453533
5,4,322,1.86646,2.016328
5,5,264,2.393939,5.147842
5,6,252,2.833333,6.154762
5,7,140,2.442857,6.132449
5,8,30,1.633333,5.965556
5,9,28,5.214286,4.168367
5,10,12,5.166667,17.305556
5,11,32,5.5,18.1875
5,12,32,5.9375,18.808594
5,13,8,5.75,18.1875
5,14,8,6.75,13.6875
5,15,4,8.0,4.0
6,0,50,2.16,0.6144
6,1,712,2.109551,1.114403
6,2,4060,2.267488,1.497908
6,3,8936,2.458594,1.761938
6,4,10752,2.584263,2.137617
6,5,9356,2.716973,2.839092
6,6,9308,2.91749,4.214722
6,7,8116,3.062839,4.84992
6,8,4857,3.170476,5.393627
6,9,2616,3.308104,6.203237
6,10,1810,3.499448,7.43674
6,11,1544,4.088083,13.946905
6,12,2120,4.532075,17.427273
6,13,1252,4.455272,17.033942
6,14,752,4.835106,18.541959
6,15,580,4.962069,18.812354
6,16,416,5.028846,18.672245
6,17,72,3.888889,17.098765
6,18,8,5.0,5.75
6,19,16,5.5,25.25
6,20,88,6.795455,37.29907
6,21,108,7.814815,47.576818
6,22,228,8.27193,52.101493
6,23,76,8.184211,53.281856
6,24,66,8.212121,51.439853
6,25,24,8.75,47.1875
6,26,14,8.714286,46.632653
6,27,4,10.5,20.25
6,30,8,8.0,56.75
6,40,1,15.0,0.0
7,0,132,1.469697,0.552112
7,1,1412,1.635977,0.908564
7,2,11160,1.646416,1.008132
7,3,47592,1.740713,1.304849
7,4,125388,1.879063,1.551872
7,5,226860,2.001922,1.822962
7,6,309786,2.127717,2.198704
7,7,360440,2.246882,2.772381
7,8,386714,2.397914,3.463351
7,9,364204,2.539709,3.986438
7,10,288596,2.666454,4.458762
7,11,216268,2.821943,5.219086
7,12,172182,2.960931,6.402598
7,13,136328,3.185244,8.730942
7,14,113786,3.434544,11.159431
7,15,88940,3.717068,13.037017
7,16,68164,3.878587,14.154234
7,17,53064,4.149404,15.33649
7,18,34256,4.3562,15.902839
7,19,19008,4.494949,16.307634
7,20,9852,4.682704,16.858722
7,21,7700,4.76961,20.553154
7,22,9176,5.398431,31.832753
7,23,12732,5.909048,38.312966
7,24,12684,6.097603,40.570259
7,25,9956,6.448172,41.790705
7,26,7350,6.773197,42.164751
7,27,5812,6.783895,41.839397
7,28,3278,7.057047,43.117246
7,29,1336,7.419162,41.41113
7,30,750,7.636,41.514171
7,31,612,7.316993,42.680561
7,32,656,8.487805,38.10351
7,33,612,8.415033,41.59899
7,34,148,7.972973,44.161432
7,35,92,9.195652,46.353025
7,36,168,11.202381,67.80428
7,37,612,11.51634,95.756269
7,38,844,11.511848,96.778296
7,39,680,11.576471,96.282388
7,40,580,11.486207,95.363603
7,41,444,11.914414,86.438621
7,42,264,12.143939,79.335342
7,43,144,11.222222,86.464506
7,44,10,10.5,89.45
7,45,44,12.090909,82.719008
7,46,8,10.5,110.25
7,47,80,13.825,65.994375
7,48,4,12.0,81.0
7,49,16,12.875,68.359375
7,55,8,14.5,66.75
7,56,4,18.0,9.0
7,59,4,18.0,9.0
