n,seed,t,count,mean_x,var_x
8,20260818,0,1,3.0,0.0
8,20260818,1,39,2.076923,0.994083
8,20260818,2,326,2.119632,1.301639
8,20260818,3,2093,2.247014,1.350833
8,20260818,4,8035,2.287492,1.629358
8,20260818,5,21545,2.380227,1.871301
8,20260818,6,42236,2.466498,2.136367
8,20260818,7,65203,2.535758,2.444909
8,20260818,8,85927,2.644245,2.920525
8,20260818,9,100519,2.746545,3.427489
8,20260818,10,107060,2.853316,3.917845
8,20260818,11,100024,2.948162,4.345259
8,20260818,12,86890,3.072264,4.956396
8,20260818,13,73040,3.187705,5.727636
8,20260818,14,61287,3.31532,6.807014
8,20260818,15,50616,3.499526,8.288328
8,20260818,16,41911,3.654053,9.794543
8,20260818,17,34154,3.842566,11.175396
8,20260818,18,27478,4.000437,12.275784
8,20260818,19,20926,4.228615,13.358325
8,20260818,20,14164,4.342982,14.146413
8,20260818,21,9418,4.424612,14.55691
8,20260818,22,6524,4.552422,16.515186
8,20260818,23,5548,4.728551,21.189473
8,20260818,24,5657,5.051617,26.708667
8,20260818,25,5762,5.314474,30.693192
8,20260818,26,5027,5.469664,32.744007
8,20260818,27,4406,5.843168,35.207587
8,20260818,28,3526,6.186614,36.757575
8,20260818,29,2551,6.249314,37.40707
8,20260818,30,1513,6.259088,38.451049
8,20260818,31,970,6.470103,38.801683
8,20260818,32,646,6.93808,40.287188
8,20260818,33,565,6.483186,37.966531
8,20260818,34,419,6.568019,38.169001
8,20260818,35,293,7.235495,37.941129
8,20260818,36,174,6.775862,48.87505
8,20260818,37,234,7.307692,62.213018
8,20260818,38,352,7.559659,74.456668
8,20260818,39,515,8.394175,85.042685
8,20260818,40,542,9.440959,90.85168
8,20260818,41,466,9.409871,89.503679
8,20260818,42,428,9.401869,87.132894
8,20260818,43,298,9.436242,85.876807
8,20260818,44,155,9.593548,92.189636
8,20260818,45,105,10.314286,87.072653
8,20260818,46,80,8.8375,79.461094
8,20260818,47,56,10.464286,76.21301
8,20260818,48,47,9.0,87.446809
8,20260818,49,27,9.0,76.666667
8,20260818,50,15,10.866667,74.515556
8,20260818,51,11,10.363636,105.504132
8,20260818,52,2,13.0,81.0
8,20260818,53,1,21.0,0.0
8,20260818,54,1,5.0,0.0
8,20260818,55,2,1.5,2.25
8,20260818,56,3,7.666667,88.888889
8,20260818,57,3,1.666667,0.222222
8,20260818,58,20,17.45,146.4475
8,20260818,59,30,14.266667,176.062222
8,20260818,60,44,9.977273,150.794938
8,20260818,61,36,14.861111,170.564043
8,20260818,62,21,18.761905,169.609977
8,20260818,63,16,11.75,170.5625
8,20260818,64,3,19.0,162.0
8,20260818,65,7,9.428571,146.530612
8,20260818,66,1,2.0,0.0
8,20260818,67,2,14.5,182.25
8,20260818,68,3,19.333333,150.222222
8,20260818,70,1,1.0,0.0
