n,blocked_pct,b4_share,open_labeled,sec_mean,sec_max,bhist
8,96.3158,87.7193,14,1.9,4,"{""0"": 1, ""2"": 1, ""3"": 5, ""4"": 50}"
9,99.4565,98.0392,2,2.195652,4,"{""3"": 1, ""4"": 50}"
10,97.7093,92.3077,26,2.494273,5,"{""2"": 2, ""3"": 10, ""4"": 144}"
11,93.5714,79.7468,72,2.021429,5,"{""0"": 2, ""2"": 6, ""3"": 24, ""4"": 126}"
12,98.0911,92.9329,83,2.641674,7,"{""2"": 2, ""3"": 38, ""4"": 526}"
13,98.0398,93.1864,71,2.429873,6,"{""2"": 4, ""3"": 30, ""4"": 465}"
14,98.1643,93.265,194,2.615443,7,"{""2"": 10, ""3"": 82, ""4"": 1274}"
15,98.8705,95.8522,346,2.975093,8,"{""2"": 12, ""3"": 153, ""4"": 3813}"
16,99.134,96.6271,401,3.114806,8,"{""2"": 6, ""3"": 193, ""4"": 5701}"
17,98.3338,93.7271,926,2.772744,7,"{""1"": 1, ""2"": 22, ""3"": 422, ""4"": 6649}"
18,99.0553,96.3133,1438,3.126102,8,"{""2"": 13, ""3"": 695, ""4"": 18496}"
19,98.3352,93.6765,4298,2.831913,8,"{""2"": 103, ""3"": 1957, ""4"": 30517}"
20,99.1378,96.6389,8118,3.222069,10,"{""1"": 4, ""2"": 92, ""3"": 3872, ""4"": 114089}"
