n,classes,labeled,minL,min_spectrum
21,2619,11248,3,2;2;2;3;3;3;3;3
22,1285,5162,4,2;2;2;2;2;4;4;4
23,4033,16250,4,2;2;2;2;3;4;4;4
24,2936,11758,4,2;2;2;2;2;2;2;2;2;2;4
25,9081,36484,4,2;2;2;2;2;2;3;3;3;4
26,4969,19884,2,2;2;2;2;2;2;2;2;2;2;2;2;2
27,17453,70084,4,2;3;3;3;4;4;4;4
28,12225,48872,2,2;2;2;2;2;2;2;2;2;2;2;2;2;2
29,45005,180478,4,2;2;2;2;3;3;3;4;4;4
30,24985,99994,4,2;2;2;2;2;4;4;4;4;4
31,80446,322380,4,2;2;2;3;3;3;4;4;4;4
32,177,508,6,2;2;2;2;6;6;6;6
33,21,84,7,5;7;7;7;7
34,173,348,5,2;3;3;3;3;5;5;5;5
35,25,98,13,2;2;2;2;4;4;6;13
36,285,576,4,3;3;3;3;4;4;4;4;4;4
37,23,92,10,4;4;9;10;10
38,340,684,5,2;2;2;2;2;4;4;5;5;5;5
39,37,148,8,7;8;8;8;8
40,545,1102,4,2;2;2;2;4;4;4;4;4;4;4;4
41,35,140,16,9;16;16
42,750,1506,5,2;2;2;2;2;3;3;3;3;5;5;5;5
43,67,272,14,8;8;13;14
44,1023,2062,6,2;2;2;2;2;2;2;2;2;3;3;3;3;4;4;6
45,106,424,8,6;7;8;8;8;8
46,1380,2808,5,2;4;4;4;4;4;4;5;5;5;5
47,106,422,10,3;3;3;3;4;4;4;4;9;10
48,2132,4296,5,4;4;5;5;5;5;5;5;5;5
49,196,784,7,2;2;3;3;3;3;5;7;7;7;7
50,3394,6814,5,2;3;3;3;3;4;4;4;4;5;5;5;5
51,267,1068,7,5;5;5;5;6;6;6;6;7
52,5081,10216,5,2;2;2;2;4;4;4;4;4;4;5;5;5;5
53,377,1508,8,2;2;3;3;3;3;5;8;8;8;8
54,7714,15476,4,2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;4;4;4
55,578,2316,7,3;6;6;6;6;7;7;7;7
56,10466,21002,5,3;3;3;3;4;4;4;4;4;4;5;5;5;5
