n,windows,c4,2c2,valid_flips,same_class_flips,cross_flips,classes_with_flip,nonid_total,cross_total,refill_edges,undirected_edges,flip_spectra_ok,largest_component,n_components,v_hist
10,74,23,51,0,0,0,0,3,3,1,0,True,2,1,"{""1"": 71, ""2"": 3}"
11,41,19,22,0,0,0,0,2,2,1,0,True,2,1,"{""1"": 39, ""2"": 2}"
12,138,81,57,0,0,0,0,2,2,1,0,True,2,1,"{""1"": 136, ""2"": 2}"
13,175,79,96,0,0,0,0,6,6,3,0,True,2,3,"{""1"": 169, ""2"": 6}"
4,4,1,3,3,3,0,3,40,33,6,0,True,4,1,"{""11"": 4}"
5,0,0,0,0,0,0,0,0,0,0,0,True,0,0,{}
6,1,1,0,1,1,0,1,1,0,0,0,True,0,0,"{""2"": 1}"
7,8,3,5,4,0,4,4,12,12,6,2,True,3,2,"{""1"": 2, ""3"": 6}"
8,66,32,34,1,1,0,1,36,35,13,0,True,8,2,"{""1"": 42, ""2"": 12, ""3"": 12}"
9,14,3,11,0,0,0,0,0,0,0,0,True,0,0,"{""1"": 14}"
